year,team
1987,NYJ
1987,PHI
1987,PIT
1987,RAI
1987,RAM
1987,SDG
1987,SEA
1987,SFO
1987,STL
1987,TAM
1987,WAS
1988,ATL
1988,BUF
1988,CHI
1988,CIN
1988,CLE
1988,DAL
1988,DEN
1988,DET
1988,GNB
1988,HOU
1988,IND
1988,KAN
1988,MIA
1988,MIN
1988,NOR
1988,NWE
1988,NYG
1988,NYJ
1988,PHI
1988,PHO
1988,PIT
1988,RAI
1988,RAM
1988,SDG
1988,SEA
1988,SFO
1988,TAM
1988,WAS
1989,ATL
1989,BUF
1989,CHI
1989,CIN
1989,CLE
1989,DAL
1989,DEN
1989,DET
1989,GNB
1989,HOU
1989,IND
1989,KAN
1989,MIA
1989,MIN
1989,NOR
1989,NWE
1989,NYG
1989,NYJ
1989,PHI
1989,PHO
1989,PIT
1989,RAI
1989,RAM
1989,SDG
1989,SEA
1989,SFO
1989,TAM
1989,WAS
1990,ATL
1990,BUF
1990,CHI
1990,CIN
1990,CLE
1990,DAL
1990,DEN
1990,DET
1990,GNB
1990,HOU
1990,IND
1990,KAN
1990,MIA
1990,MIN
1990,NOR
1990,NWE
1990,NYG
1990,NYJ
1990,PHI
1990,PHO
1990,PIT
1990,RAI
1990,RAM
1990,SDG
1990,SEA
1990,SFO
1990,TAM
1990,WAS
1991,ATL
1991,BUF
1991,CHI
1991,CIN
1991,CLE
1991,DAL
1991,DEN
1991,DET
1991,GNB
1991,HOU
1991,IND
1991,KAN
1991,MIA
1991,MIN
1991,NOR
1991,NWE
1991,NYG
1991,NYJ
1991,PHI
1991,PHO
1991,PIT
1991,RAI
1991,RAM
1991,SDG
1991,SEA
1991,SFO
1991,TAM
1991,WAS
1992,ATL
1992,BUF
1992,CHI
1992,CIN
1992,CLE
1992,DAL
1992,DEN
1992,DET
1992,GNB
1992,HOU
1992,IND
1992,KAN
1992,MIA
1992,MIN
1992,NOR
1992,NWE
1992,NYG
1992,NYJ
1992,PHI
1992,PHO
1992,PIT
1992,RAI
1992,RAM
1992,SDG
1992,SEA
1992,SFO
1992,TAM
1992,WAS
1993,ATL
1993,BUF
1993,CHI
1993,CIN
1993,CLE
1993,DAL
1993,DEN
1993,DET
1993,GNB
1993,HOU
1993,IND
1993,KAN
1993,MIA
1993,MIN
1993,NOR
1993,NWE
1993,NYG
1993,NYJ
1993,PHI
1993,PHO
1993,PIT
1993,RAI
1993,RAM
1993,SDG
1993,SEA
1993,SFO
1993,TAM
1993,WAS
1994,ARI
1994,ATL
1994,BUF
1994,CHI
1994,CIN
1994,CLE
1994,DAL
1994,DEN
1994,DET
1994,GNB
1994,HOU
1994,IND
1994,KAN
1994,MIA
1994,MIN
1994,NOR
1994,NWE
1994,NYG
1994,NYJ
1994,PHI
1994,PIT
1994,RAI
1994,RAM
1994,SDG
1994,SEA
1994,SFO
1994,TAM
1994,WAS
1995,ARI
1995,ATL
1995,BUF
1995,CAR
1995,CHI
1995,CIN
1995,CLE
1995,DAL
1995,DEN
1995,DET
1995,GNB
1995,HOU
1995,IND
1995,JAX
1995,KAN
1995,MIA
1995,MIN
1995,NOR
1995,NWE
1995,NYG
1995,NYJ
1995,OAK
1995,PHI
1995,PIT
1995,SDG
1995,SEA
1995,SFO
1995,STL
1995,TAM
1995,WAS
1996,ARI
1996,ATL
1996,BAL
1996,BUF
1996,CAR
1996,CHI
1996,CIN
1996,DAL
1996,DEN
1996,DET
1996,GNB
1996,HOU
1996,IND
1996,JAX
1996,KAN
1996,MIA
1996,MIN
1996,NOR
1996,NWE
1996,NYG
1996,NYJ
1996,OAK
1996,PHI
1996,PIT
1996,SDG
1996,SEA
1996,SFO
1996,STL
1996,TAM
1996,WAS
1997,ARI
1997,ATL
1997,BAL
1997,BUF
1997,CAR
1997,CHI
1997,CIN
1997,DAL
1997,DEN
1997,DET
1997,GNB
1997,IND
1997,JAX
1997,KAN
1997,MIA
1997,MIN
1997,NOR
1997,NWE
1997,NYG
1997,NYJ
1997,OAK
1997,PHI
1997,PIT
1997,SDG
1997,SEA
1997,SFO
1997,STL
1997,TAM
1997,TEN
1997,WAS
1998,ARI
1998,ATL
1998,BAL
1998,BUF
1998,CAR
1998,CHI
1998,CIN
1998,DAL
1998,DEN
1998,DET
1998,GNB
1998,IND
1998,JAX
1998,KAN
1998,MIA
1998,MIN
1998,NOR
1998,NWE
1998,NYG
1998,NYJ
1998,OAK
1998,PHI
1998,PIT
1998,SDG
1998,SEA
1998,SFO
1998,STL
1998,TAM
1998,TEN
1998,WAS
1999,ARI
1999,ATL
1999,BAL
1999,BUF
1999,CAR
1999,CHI
1999,CIN
1999,CLE
1999,DAL
1999,DEN
1999,DET
1999,GNB
1999,IND
1999,JAX
1999,KAN
1999,MIA
1999,MIN
1999,NOR
1999,NWE
1999,NYG
1999,NYJ
1999,OAK
1999,PHI
1999,PIT
1999,SDG
1999,SEA
1999,SFO
1999,STL
1999,TAM
1999,TEN
1999,WAS
2000,ARI
2000,ATL
2000,BAL
2000,BUF
2000,CAR
2000,CHI
2000,CIN
2000,CLE
2000,DAL
2000,DEN
2000,DET
2000,GNB
2000,IND
2000,JAX
2000,KAN
2000,MIA
2000,MIN
2000,NOR
2000,NWE
2000,NYG
2000,NYJ
2000,OAK
2000,PHI
2000,PIT
2000,SDG
2000,SEA
2000,SFO
2000,STL
2000,TAM
2000,TEN
2000,WAS
2001,ARI
2001,ATL
2001,BAL
2001,BUF
2001,CAR
2001,CHI
2001,CIN
2001,CLE
2001,DAL
2001,DEN
2001,DET
2001,GNB
2001,IND
2001,JAX
2001,KAN
2001,MIA
2001,MIN
2001,NOR
2001,NWE
2001,NYG
2001,NYJ
2001,OAK
2001,PHI
2001,PIT
2001,SDG
2001,SEA
2001,SFO
2001,STL
2001,TAM
2001,TEN
2001,WAS
2002,ARI
2002,ATL
2002,BAL
2002,BUF
2002,CAR
2002,CHI
2002,CIN
2002,CLE
2002,DAL
2002,DEN
2002,DET
2002,GNB
2002,HOU
2002,IND
2002,JAX
2002,KAN
2002,MIA
2002,MIN
2002,NOR
2002,NWE
2002,NYG
2002,NYJ
2002,OAK
2002,PHI
2002,PIT
2002,SDG
2002,SEA
2002,SFO
2002,STL
2002,TAM
2002,TEN
2002,WAS
2003,ARI
2003,ATL
2003,BAL
2003,BUF
2003,CAR
2003,CHI
2003,CIN
2003,CLE
2003,DAL
2003,DEN
2003,DET
2003,GNB
2003,HOU
2003,IND
2003,JAX
2003,KAN
2003,MIA
2003,MIN
2003,NOR
2003,NWE
2003,NYG
2003,NYJ
2003,OAK
2003,PHI
2003,PIT
2003,SDG
2003,SEA
2003,SFO
2003,STL
2003,TAM
2003,TEN
2003,WAS
2004,ARI
2004,ATL
2004,BAL
2004,BUF
2004,CAR
2004,CHI
2004,CIN
2004,CLE
2004,DAL
2004,DEN
2004,DET
2004,GNB
2004,HOU
2004,IND
2004,JAX
2004,KAN
2004,MIA
2004,MIN
2004,NOR
2004,NWE
2004,NYG
2004,NYJ
2004,OAK
2004,PHI
2004,PIT
2004,SDG
2004,SEA
2004,SFO
2004,STL
2004,TAM
2004,TEN
2004,WAS
2005,ARI
2005,ATL
2005,BAL
2005,BUF
2005,CAR
2005,CHI
2005,CIN
2005,CLE
2005,DAL
2005,DEN
2005,DET
2005,GNB
2005,HOU
2005,IND
2005,JAX
2005,KAN
2005,MIA
2005,MIN
2005,NOR
2005,NWE
2005,NYG
2005,NYJ
2005,OAK
2005,PHI
2005,PIT
2005,SDG
2005,SEA
2005,SFO
2005,STL
2005,TAM
2005,TEN
2005,WAS
2006,ARI
2006,ATL
2006,BAL
2006,BUF
2006,CAR
2006,CHI
2006,CIN
2006,CLE
2006,DAL
2006,DEN
2006,DET
2006,GNB
2006,HOU
2006,IND
2006,JAX
2006,KAN
2006,MIA
2006,MIN
2006,NOR
2006,NWE
2006,NYG
2006,NYJ
2006,OAK
2006,PHI
2006,PIT
2006,SDG
2006,SEA
2006,SFO
2006,STL
2006,TAM
2006,TEN
2006,WAS
2007,ARI
2007,ATL
2007,BAL
2007,BUF
2007,CAR
2007,CHI
2007,CIN
2007,CLE
2007,DAL
2007,DEN
